

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

136.296  000.141  000.141: require nvim-tree.explorer.reload
136.301  003.058  000.116: require nvim-tree.explorer
136.305  003.279  000.097: require nvim-tree.core
136.490  000.183  000.183: require nvim-tree.diagnostics
136.623  000.129  000.129: require nvim-tree.renderer.components.padding
136.749  000.123  000.123: require nvim-tree.renderer.components.icons
136.882  000.131  000.131: require nvim-tree.renderer.components.full-name
137.012  000.127  000.127: require nvim-tree.renderer.help
137.180  000.166  000.166: require nvim-tree.renderer.components.git
137.523  000.322  000.322: require nvim-tree.renderer.builder
137.532  004.643  000.183: require nvim-tree.renderer
137.687  000.149  000.149: require nvim-tree.actions.collapse-all
137.815  000.125  000.125: require nvim-tree.actions.dir-up
137.998  000.180  000.180: require nvim-tree.actions.change-dir
138.198  000.196  000.196: require nvim-tree.actions.reloaders
138.321  000.120  000.120: require nvim-tree.actions.find-file
138.325  005.571  000.159: require nvim-tree.lib
138.479  000.152  000.152: require nvim-tree.colors
138.738  000.255  000.255: require nvim-tree.legacy
138.976  000.234  000.234: require nvim-tree.actions.copy-paste
139.355  000.083  000.083: require nvim-tree.config
139.509  000.145  000.145: require nvim-tree.actions.movements
139.633  000.121  000.121: require nvim-tree.actions.expand-all
139.910  000.275  000.275: require nvim-tree.actions.create-file
140.093  000.160  000.160: require nvim-tree.actions.rename-file
140.231  000.131  000.131: require nvim-tree.actions.remove-file
140.321  000.087  000.087: require nvim-tree.actions.run-command
140.438  000.115  000.115: require nvim-tree.actions.search-node
140.565  000.125  000.125: require nvim-tree.actions.file-popup
140.711  000.142  000.142: require nvim-tree.actions.system-open
140.806  000.093  000.093: require nvim-tree.actions.toggles
140.960  000.151  000.151: require nvim-tree.actions.trash
140.968  001.987  000.360: require nvim-tree.actions
140.981  008.644  000.443: require nvim-tree
142.454  000.272  000.272: require nvim-tree.actions.open-file
143.729  000.359  000.359: require nvim-web-devicons
144.449  000.145  000.145: require auto-session-library
144.468  000.456  000.311: require auto-session
145.290  000.158  000.158: require dapui.config
145.301  000.353  000.195: require dapui.util
145.581  000.204  000.204: require dapui.render.canvas
145.707  000.123  000.123: require dapui.render.loop
145.710  000.407  000.080: require dapui.render
145.909  000.197  000.197: require dapui.windows.layout
145.914  001.140  000.183: require dapui.windows
145.918  001.343  000.202: require dapui
146.288  000.302  000.302: require dapui.config.highlights
146.631  000.279  000.279: require dapui.state
146.723  000.083  000.083: require dapui.elements.breakpoints
146.937  000.117  000.117: require dapui.components.buf_breakpoints
146.941  000.216  000.099: require dapui.components.breakpoints
147.034  000.087  000.087: require dapui.elements.repl
147.112  000.074  000.074: require dapui.elements.scopes
147.356  000.147  000.147: require dapui.components.variables
147.361  000.247  000.101: require dapui.components.scopes
147.439  000.075  000.075: require dapui.elements.stacks
147.639  000.095  000.095: require dapui.components.frames
147.643  000.201  000.106: require dapui.components.threads
147.724  000.076  000.076: require dapui.elements.watches
147.879  000.153  000.153: require dapui.components.watches
148.089  000.129  000.129: require dapui.components.hover
148.092  000.209  000.080: require dapui.elements.hover
148.193  000.098  000.098: require dapui.elements.console
148.414  000.156  000.156: require nvim-dap-virtual-text
148.445  003.972  000.375: require plugins.nvimdap
149.259  000.318  000.318: require telescope.builtin.__lsp
149.277  000.573  000.255: require telescope.builtin
149.282  000.831  000.258: require telescope._extensions.dap
149.635  000.351  000.351: require dap.ui
151.235  000.211  000.211: require plugins.nvim-cmp
152.347  000.037  000.037: require luasnip.session
152.674  000.324  000.324: require luasnip.util.util
152.716  000.039  000.039: require luasnip.util.types
152.897  000.084  000.084: require luasnip.util.ext_opts
152.902  000.183  000.099: require luasnip.nodes.util
152.939  000.036  000.036: require luasnip.util.events
152.952  000.818  000.200: require luasnip.nodes.node
153.099  000.145  000.145: require luasnip.nodes.insertNode
153.158  000.057  000.057: require luasnip.nodes.textNode
153.269  000.108  000.108: require luasnip.util.mark
153.409  000.136  000.136: require luasnip.util.environ
153.506  000.078  000.078: require luasnip.util.pattern_tokenizer
153.562  000.053  000.053: require luasnip.util.dict
153.707  000.143  000.143: require luasnip.session.snippet_collection
153.736  002.150  000.613: require luasnip.nodes.snippet
153.861  000.043  000.043: require luasnip.loaders._caches
153.866  000.128  000.085: require luasnip.loaders
153.988  000.105  000.105: require luasnip.nodes.functionNode
154.233  000.240  000.240: require luasnip.nodes.choiceNode
154.453  000.217  000.217: require luasnip.nodes.dynamicNode
154.630  000.173  000.173: require luasnip.nodes.restoreNode
154.890  000.032  000.032: require luasnip.util.functions
154.895  000.261  000.229: require luasnip.util.parser
155.079  000.062  000.062: require luasnip.extras.filetype_functions
155.225  000.132  000.132: require luasnip.extras
155.359  000.131  000.131: require luasnip.extras.fmt
155.391  000.029  000.029: require luasnip.extras.expand_conditions
155.431  000.038  000.038: require luasnip.nodes.absolute_indexer
155.541  000.644  000.252: require luasnip.config
155.544  004.305  000.385: require luasnip
156.494  000.033  000.033: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/opt/bats.vim/ftdetect/bats.vim
156.688  000.172  000.172: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/opt/vim-terraform/ftdetect/hcl.vim
156.836  000.125  000.125: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/opt/go.nvim/ftdetect/go.vim
156.842  094.011  009.766: sourcing /home/alextylor/.config/nvim/plugin/packer_compiled.lua
157.300  003.402: loading rtp plugins
157.855  000.226  000.226: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
158.210  000.266  000.266: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/auto-session/plugin/auto-session.vim
158.628  000.240  000.240: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/conflict-marker.vim/plugin/conflict_marker.vim
159.078  000.118  000.118: require cmp.utils.highlight
159.381  000.507  000.390: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
159.554  000.068  000.068: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/nvim-dap/plugin/dap.lua
159.744  000.080  000.080: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.vim
160.742  000.872  000.872: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
160.962  000.129  000.129: require nvim-treesitter-textsubjects
161.120  000.306  000.176: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/nvim-treesitter-textsubjects/plugin/nvim-treesitter-textsubjects.vim
161.259  000.031  000.031: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
161.698  000.266  000.266: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
161.933  000.153  000.153: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/vim-tmux-navigator/plugin/tmux_navigator.vim
162.337  002.022: loading packages
162.754  000.114  000.114: require cmp_tmux.tmux
162.761  000.222  000.108: require cmp_tmux.source
163.152  000.661  000.439: require cmp_tmux
163.176  000.709  000.048: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/cmp-tmux/after/plugin/cmp_tmux.vim
163.708  000.054  000.054: require cmp_buffer.timer
163.717  000.269  000.216: require cmp_buffer.buffer
163.721  000.388  000.118: require cmp_buffer.source
163.723  000.429  000.041: require cmp_buffer
163.741  000.470  000.041: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
163.864  000.068  000.068: sourcing /home/alextylor/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
164.009  000.060  000.060: require cmp-spell
